$a,$b,$c,<$b
0.0,0.5555555555555556,0.0,8.8341948
0.0,0.5555555555555556,0.25,8.765405487
0.125,0.5555555555555556,0.0,9.736811715
0.125,0.5555555555555556,0.25,9.771066822
0.25,0.5555555555555556,0.0,10.66419664
0.25,0.5555555555555556,0.25,10.67300254
0.375,0.5555555555555556,0.0,11.47418769
0.375,0.5555555555555556,0.25,11.65370002
0.5,0.5555555555555556,0.0,12.47418769
0.5,0.5555555555555556,0.25,12.03070176
0.625,0.5555555555555556,0.0,13.23156242
0.625,0.5555555555555556,0.25,13.30175662
0.75,0.5555555555555556,0.0,13.70214888
0.75,0.5555555555555556,0.25,13.51134515
0.875,0.5555555555555556,0.0,14.71664238
0.875,0.5555555555555556,0.25,14.60766939
0.0,0.5396825396825397,0.5,8.817826403
0.0,0.5396825396825397,0.75,8.77675046
0.0,0.38095238095238093,0.5,7.792134629
0.0,0.38095238095238093,0.75,7.757676762
0.0,0.3333333333333333,0.5,7.178065338
0.0,0.3333333333333333,0.75,7.208748533
0.0,0.2857142857142857,0.5,6.771739106
0.0,0.2857142857142857,0.75,6.792884914
0.0,0.2222222222222222,0.5,6.511822825
0.0,0.2222222222222222,0.75,6.445010442
0.0,0.20634920634920634,0.5,6.237731986
0.0,0.20634920634920634,0.75,6.2278842
0.0,0.1111111111111111,0.5,6.035372181
0.0,0.1111111111111111,0.75,6.02339954
0.0,0.09523809523809523,0.5,5.870474631
0.0,0.09523809523809523,0.75,5.78971557
0.125,0.5396825396825397,0.5,9.749795131
0.125,0.5396825396825397,0.75,9.767290131
0.125,0.38095238095238093,0.5,8.75137773
0.125,0.38095238095238093,0.75,8.767953287
0.125,0.3333333333333333,0.5,8.144994221
0.125,0.3333333333333333,0.75,8.210060462
0.125,0.2857142857142857,0.5,7.724034654
0.125,0.2857142857142857,0.75,7.739010861
0.125,0.2222222222222222,0.5,7.430869627
0.125,0.2222222222222222,0.75,7.422663507
0.125,0.20634920634920634,0.5,7.256973697
0.125,0.20634920634920634,0.75,7.226333592
0.125,0.1111111111111111,0.5,6.980023448
0.125,0.1111111111111111,0.75,7.018112284
0.125,0.09523809523809523,0.5,6.788873143
0.125,0.09523809523809523,0.75,6.860690304
0.25,0.5396825396825397,0.5,10.60570099
0.25,0.5396825396825397,0.75,10.65835576
0.25,0.38095238095238093,0.5,9.72844524
0.25,0.38095238095238093,0.75,9.685226919
0.25,0.3333333333333333,0.5,9.129408807
0.25,0.3333333333333333,0.75,9.136334261
0.25,0.2857142857142857,0.5,8.675316106
0.25,0.2857142857142857,0.75,8.752437003
0.25,0.2222222222222222,0.5,8.346562042
0.25,0.2222222222222222,0.75,8.438053168
0.25,0.20634920634920634,0.5,8.13241029
0.25,0.20634920634920634,0.75,8.177039855
0.25,0.1111111111111111,0.5,7.899903708
0.25,0.1111111111111111,0.75,7.921882077
0.25,0.09523809523809523,0.5,7.761616662
0.25,0.09523809523809523,0.75,7.804959873
0.375,0.5396825396825397,0.5,11.46040144
0.375,0.5396825396825397,0.75,11.53122277
0.375,0.38095238095238093,0.5,10.53995576
0.375,0.38095238095238093,0.75,10.51527408
0.375,0.3333333333333333,0.5,9.962558736
0.375,0.3333333333333333,0.75,10.02468971
0.375,0.2857142857142857,0.5,9.434258562
0.375,0.2857142857142857,0.75,9.61497325
0.375,0.2222222222222222,0.5,9.260459475
0.375,0.2222222222222222,0.75,9.330080673
0.375,0.20634920634920634,0.5,9.014280996
0.375,0.20634920634920634,0.75,9.057947231
0.375,0.1111111111111111,0.5,8.807303347
0.375,0.1111111111111111,0.75,8.708210224
0.375,0.09523809523809523,0.5,8.553987328
0.375,0.09523809523809523,0.75,8.522529897
0.5,0.5396825396825397,0.5,12.15636984
0.5,0.5396825396825397,0.75,11.83287847
0.5,0.38095238095238093,0.5,11.14327081
0.5,0.38095238095238093,0.75,11.32123577
0.5,0.3333333333333333,0.5,10.70674724
0.5,0.3333333333333333,0.75,10.55821909
0.5,0.2857142857142857,0.5,10.27668784
0.5,0.2857142857142857,0.75,10.19099723
0.5,0.2222222222222222,0.5,9.859624439
0.5,0.2222222222222222,0.75,9.998033505
0.5,0.20634920634920634,0.5,9.686131921
0.5,0.20634920634920634,0.75,9.873365398
0.5,0.1111111111111111,0.5,9.557560706
0.5,0.1111111111111111,0.75,9.696737108
0.5,0.09523809523809523,0.5,9.445028118
0.5,0.09523809523809523,0.75,9.510868147
0.625,0.5396825396825397,0.5,13.00194029
0.625,0.5396825396825397,0.75,12.99935382
0.625,0.38095238095238093,0.5,11.58287499
0.625,0.38095238095238093,0.75,11.60519175
0.625,0.3333333333333333,0.5,10.97174771
0.625,0.3333333333333333,0.75,11.1551998
0.625,0.2857142857142857,0.5,10.78326081
0.625,0.2857142857142857,0.75,10.94420462
0.625,0.2222222222222222,0.5,10.37268453
0.625,0.2222222222222222,0.75,10.62523982
0.625,0.20634920634920634,0.5,10.29174742
0.625,0.20634920634920634,0.75,10.46604202
0.625,0.1111111111111111,0.5,10.22675306
0.625,0.1111111111111111,0.75,10.30355742
0.625,0.09523809523809523,0.5,10.03234148
0.625,0.09523809523809523,0.75,10.18870654
0.75,0.5396825396825397,0.5,13.35981593
0.75,0.5396825396825397,0.75,12.44172061
0.75,0.38095238095238093,0.5,11.28664203
0.75,0.38095238095238093,0.75,11.28592421
0.75,0.3333333333333333,0.5,11.25188231
0.75,0.3333333333333333,0.75,11.21018897
0.75,0.2857142857142857,0.5,10.95459058
0.75,0.2857142857142857,0.75,10.79276682
0.75,0.2222222222222222,0.5,10.972042
0.75,0.2222222222222222,0.75,11.03425486
0.75,0.20634920634920634,0.5,10.91838768
0.75,0.20634920634920634,0.75,10.93421264
0.75,0.1111111111111111,0.5,10.59422542
0.75,0.1111111111111111,0.75,10.34895612
0.75,0.09523809523809523,0.5,10.19925538
0.75,0.09523809523809523,0.75,10.37635785
0.875,0.5396825396825397,0.5,13.65268358
0.875,0.5396825396825397,0.75,13.49537757
0.875,0.38095238095238093,0.5,11.39965412
