$spouts,$max_spout,$sorters,$emit_freq,$chunk_size,$message_size,<$throughput
1,10,1,1,1.00E+05,1000,22657
1,10,1,1,1.00E+05,10000,3596.3
1,10,1,1,1.00E+05,1.00E+05,112.56
1,10,1,1,1.00E+06,1000,12273
1,10,1,1,1.00E+06,10000,1174.9
1,10,1,1,1.00E+06,1.00E+05,111.88
1,10,1,1,2.00E+06,1000,12024
1,10,1,1,2.00E+06,10000,1151.3
1,10,1,1,2.00E+06,1.00E+05,94.294
1,10,1,1,1.00E+07,1000,11552
1,10,1,1,1.00E+07,10000,1228.1
1,10,1,1,1.00E+07,1.00E+05,102.29
1,10,1,10,1.00E+05,1000,25978
1,10,1,10,1.00E+05,10000,10112
1,10,1,10,1.00E+05,1.00E+05,1023.8
1,10,1,10,1.00E+06,1000,24147
1,10,1,10,1.00E+06,10000,8400.2
1,10,1,10,1.00E+06,1.00E+05,1197.4
1,10,1,10,2.00E+06,1000,22858
1,10,1,10,2.00E+06,10000,7141.3
1,10,1,10,2.00E+06,1.00E+05,1095.1
1,10,1,10,1.00E+07,1000,22693
1,10,1,10,1.00E+07,10000,6281.5
1,10,1,10,1.00E+07,1.00E+05,951.27
1,10,1,60,1.00E+05,1000,25862
1,10,1,60,1.00E+05,10000,10859
1,10,1,60,1.00E+05,1.00E+05,1128.8
1,10,1,60,1.00E+06,1000,23553
1,10,1,60,1.00E+06,10000,9734.3
1,10,1,60,1.00E+06,1.00E+05,982
1,10,1,60,2.00E+06,1000,25408
1,10,1,60,2.00E+06,10000,7993.9
1,10,1,60,2.00E+06,1.00E+05,1056.6
1,10,1,60,1.00E+07,1000,25151
1,10,1,60,1.00E+07,10000,6490.1
1,10,1,60,1.00E+07,1.00E+05,890.33
1,10,1,120,1.00E+05,1000,25709
1,10,1,120,1.00E+05,10000,10811
1,10,1,120,1.00E+05,1.00E+05,1310.2
1,10,1,120,1.00E+06,1000,24950
1,10,1,120,1.00E+06,10000,9564.6
1,10,1,120,1.00E+06,1.00E+05,1297.5
1,10,1,120,2.00E+06,1000,25113
1,10,1,120,2.00E+06,10000,8569
1,10,1,120,2.00E+06,1.00E+05,1065.5
1,10,1,120,1.00E+07,1000,25327
1,10,1,120,1.00E+07,10000,7652.2
1,10,1,120,1.00E+07,1.00E+05,1228.9
1,10,1,300,1.00E+05,1000,24394
1,10,1,300,1.00E+05,10000,11320
1,10,1,300,1.00E+05,1.00E+05,1177
1,10,1,300,1.00E+06,1000,25810
1,10,1,300,1.00E+06,10000,10239
1,10,1,300,1.00E+06,1.00E+05,1272.2
1,10,1,300,2.00E+06,1000,24451
1,10,1,300,2.00E+06,10000,5288.8
1,10,1,300,2.00E+06,1.00E+05,1248.7
1,10,1,300,1.00E+07,1000,24212
1,10,1,300,1.00E+07,10000,6646.4
1,10,1,300,1.00E+07,1.00E+05,1144.8
1,10,2,1,1.00E+05,1000,20755
1,10,2,1,1.00E+05,10000,3154.5
1,10,2,1,1.00E+05,1.00E+05,318.28
1,10,2,1,1.00E+06,1000,12164
1,10,2,1,1.00E+06,10000,2703.7
1,10,2,1,1.00E+06,1.00E+05,331.29
1,10,2,1,2.00E+06,1000,12190
1,10,2,1,2.00E+06,10000,2127.8
1,10,2,1,2.00E+06,1.00E+05,363.06
1,10,2,1,1.00E+07,1000,12893
1,10,2,1,1.00E+07,10000,1336.1
1,10,2,1,1.00E+07,1.00E+05,344.76
1,10,2,10,1.00E+05,1000,27570
1,10,2,10,1.00E+05,10000,10316
1,10,2,10,1.00E+05,1.00E+05,1024.4
1,10,2,10,1.00E+06,1000,25330
1,10,2,10,1.00E+06,10000,7879.2
1,10,2,10,1.00E+06,1.00E+05,1096.3
1,10,2,10,2.00E+06,1000,25435
1,10,2,10,2.00E+06,10000,8531.8
1,10,2,10,2.00E+06,1.00E+05,971.4
1,10,2,10,1.00E+07,1000,24526
1,10,2,10,1.00E+07,10000,7615.6
1,10,2,10,1.00E+07,1.00E+05,829.31
1,10,2,60,1.00E+05,1000,28515
1,10,2,60,1.00E+05,10000,11676
1,10,2,60,1.00E+05,1.00E+05,1064
1,10,2,60,1.00E+06,1000,24767
1,10,2,60,1.00E+06,10000,7434.8
1,10,2,60,1.00E+06,1.00E+05,1222
1,10,2,60,2.00E+06,1000,27358
1,10,2,60,2.00E+06,10000,8382.4
