$spouts,$max_spout,$sorters,$emit_freq,$chunk_size,$message_size,<$latency
1,10,1,1,1.00E+05,1000,3.9833
1,10,1,1,1.00E+05,10000,18.415
1,10,1,1,1.00E+05,1.00E+05,217.63
1,10,1,1,1.00E+06,1000,5.1952
1,10,1,1,1.00E+06,10000,24.247
1,10,1,1,1.00E+06,1.00E+05,205.49
1,10,1,1,2.00E+06,1000,5.2935
1,10,1,1,2.00E+06,10000,25.039
1,10,1,1,2.00E+06,1.00E+05,220.62
1,10,1,1,1.00E+07,1000,6.2867
1,10,1,1,1.00E+07,10000,24.975
1,10,1,1,1.00E+07,1.00E+05,236.19
1,10,1,10,1.00E+05,1000,3.4782
1,10,1,10,1.00E+05,10000,9.2847
1,10,1,10,1.00E+05,1.00E+05,83.236
1,10,1,10,1.00E+06,1000,3.6594
1,10,1,10,1.00E+06,10000,11.804
1,10,1,10,1.00E+06,1.00E+05,73.786
1,10,1,10,2.00E+06,1000,3.7151
1,10,1,10,2.00E+06,10000,10.755
1,10,1,10,2.00E+06,1.00E+05,78.624
1,10,1,10,1.00E+07,1000,4.3637
1,10,1,10,1.00E+07,10000,14.308
1,10,1,10,1.00E+07,1.00E+05,71.492
1,10,1,60,1.00E+05,1000,3.8521
1,10,1,60,1.00E+05,10000,8.6452
1,10,1,60,1.00E+05,1.00E+05,79.862
1,10,1,60,1.00E+06,1000,3.9048
1,10,1,60,1.00E+06,10000,9.345
1,10,1,60,1.00E+06,1.00E+05,66.852
1,10,1,60,2.00E+06,1000,3.5738
1,10,1,60,2.00E+06,10000,9.2784
1,10,1,60,2.00E+06,1.00E+05,74.418
1,10,1,60,1.00E+07,1000,4.3685
1,10,1,60,1.00E+07,10000,12.267
1,10,1,60,1.00E+07,1.00E+05,90.521
1,10,1,120,1.00E+05,1000,3.52
1,10,1,120,1.00E+05,10000,8.645
1,10,1,120,1.00E+05,1.00E+05,73.396
1,10,1,120,1.00E+06,1000,3.9642
1,10,1,120,1.00E+06,10000,9.7595
1,10,1,120,1.00E+06,1.00E+05,64.184
1,10,1,120,2.00E+06,1000,3.6288
1,10,1,120,2.00E+06,10000,8.637
1,10,1,120,2.00E+06,1.00E+05,70.385
1,10,1,120,1.00E+07,1000,3.6521
1,10,1,120,1.00E+07,10000,10.399
1,10,1,120,1.00E+07,1.00E+05,78.21
1,10,1,300,1.00E+05,1000,3.4037
1,10,1,300,1.00E+05,10000,8.4771
1,10,1,300,1.00E+05,1.00E+05,68.858
1,10,1,300,1.00E+06,1000,3.6102
1,10,1,300,1.00E+06,10000,8.9053
1,10,1,300,1.00E+06,1.00E+05,70.905
1,10,1,300,2.00E+06,1000,3.5715
1,10,1,300,2.00E+06,10000,9.8958
1,10,1,300,2.00E+06,1.00E+05,80.725
1,10,1,300,1.00E+07,1000,3.6827
1,10,1,300,1.00E+07,10000,12.432
1,10,1,300,1.00E+07,1.00E+05,83.837
1,10,2,1,1.00E+05,1000,4.0268
1,10,2,1,1.00E+05,10000,15.595
1,10,2,1,1.00E+05,1.00E+05,128
1,10,2,1,1.00E+06,1000,5.0291
1,10,2,1,1.00E+06,10000,18.804
1,10,2,1,1.00E+06,1.00E+05,137.53
1,10,2,1,2.00E+06,1000,5.156
1,10,2,1,2.00E+06,10000,23.5
1,10,2,1,2.00E+06,1.00E+05,152.7
1,10,2,1,1.00E+07,1000,5.6128
1,10,2,1,1.00E+07,10000,25.679
1,10,2,1,1.00E+07,1.00E+05,178.61
1,10,2,10,1.00E+05,1000,3.6416
1,10,2,10,1.00E+05,10000,8.8329
1,10,2,10,1.00E+05,1.00E+05,88.188
1,10,2,10,1.00E+06,1000,3.394
1,10,2,10,1.00E+06,10000,10.637
1,10,2,10,1.00E+06,1.00E+05,80.847
1,10,2,10,2.00E+06,1000,3.4625
1,10,2,10,2.00E+06,10000,9.3814
1,10,2,10,2.00E+06,1.00E+05,73.145
1,10,2,10,1.00E+07,1000,3.7329
1,10,2,10,1.00E+07,10000,11.198
1,10,2,10,1.00E+07,1.00E+05,98.881
1,10,2,60,1.00E+05,1000,3.2159
1,10,2,60,1.00E+05,10000,7.9952
1,10,2,60,1.00E+05,1.00E+05,65.079
1,10,2,60,1.00E+06,1000,3.585
1,10,2,60,1.00E+06,10000,8.4112
1,10,2,60,1.00E+06,1.00E+05,65.76
1,10,2,60,2.00E+06,1000,3.5835
1,10,2,60,2.00E+06,10000,8.5012
1,10,2,60,2.00E+06,1.00E+05,75.165
1,10,2,60,1.00E+07,1000,3.4447
1,10,2,60,1.00E+07,10000,10
1,10,2,60,1.00E+07,1.00E+05,83.818
1,10,2,120,1.00E+05,1000,3.5464
1,10,2,120,1.00E+05,10000,8.5318
1,10,2,120,1.00E+05,1.00E+05,69.778
1,10,2,120,1.00E+06,1000,3.6629
1,10,2,120,1.00E+06,10000,8.1541
1,10,2,120,1.00E+06,1.00E+05,68.837
1,10,2,120,2.00E+06,1000,3.6476
1,10,2,120,2.00E+06,10000,8.7319
1,10,2,120,2.00E+06,1.00E+05,69.313
1,10,2,120,1.00E+07,1000,3.979
1,10,2,120,1.00E+07,10000,9.8389
1,10,2,120,1.00E+07,1.00E+05,84.449
1,10,2,300,1.00E+05,1000,3.555
1,10,2,300,1.00E+05,10000,7.821
1,10,2,300,1.00E+05,1.00E+05,60.38
1,10,2,300,1.00E+06,1000,3.2435
1,10,2,300,1.00E+06,10000,9.2364
1,10,2,300,1.00E+06,1.00E+05,73.012
1,10,2,300,2.00E+06,1000,3.3671
1,10,2,300,2.00E+06,10000,8.8802
1,10,2,300,2.00E+06,1.00E+05,81.577
1,10,2,300,1.00E+07,1000,3.5085
1,10,2,300,1.00E+07,10000,10.736
1,10,2,300,1.00E+07,1.00E+05,85.027
1,10,3,1,1.00E+05,1000,2.091
1,10,3,1,1.00E+05,10000,2
1,10,3,1,1.00E+05,1.00E+05,2.0452
1,10,3,1,1.00E+06,1000,2.1
1,10,3,1,1.00E+06,10000,2.0339
1,10,3,1,1.00E+06,1.00E+05,2.0216
1,10,3,1,2.00E+06,1000,2.1
1,10,3,1,2.00E+06,10000,2.1
1,10,3,1,2.00E+06,1.00E+05,2.1333
1,10,3,1,1.00E+07,1000,2.6917
1,10,3,1,1.00E+07,10000,2.6655
1,10,3,1,1.00E+07,1.00E+05,2.5313
1,10,3,10,1.00E+05,1000,2
1,10,3,10,1.00E+05,10000,2
1,10,3,10,1.00E+05,1.00E+05,2.0036
1,10,3,10,1.00E+06,1000,1.9679
1,10,3,10,1.00E+06,10000,1.928
1,10,3,10,1.00E+06,1.00E+05,2.0006
1,10,3,10,2.00E+06,1000,1.9659
1,10,3,10,2.00E+06,10000,1.9772
1,10,3,10,2.00E+06,1.00E+05,2.0083
1,10,3,10,1.00E+07,1000,2.1963
1,10,3,10,1.00E+07,10000,2.1371
1,10,3,10,1.00E+07,1.00E+05,2.2464
1,10,3,60,1.00E+05,1000,2
1,10,3,60,1.00E+05,10000,2
1,10,3,60,1.00E+05,1.00E+05,2
1,10,3,60,1.00E+06,1000,2
1,10,3,60,1.00E+06,10000,1.9595
1,10,3,60,1.00E+06,1.00E+05,2
1,10,3,60,2.00E+06,1000,2.0269
1,10,3,60,2.00E+06,10000,1.9509
1,10,3,60,2.00E+06,1.00E+05,2.0458
1,10,3,60,1.00E+07,1000,2.0145
1,10,3,60,1.00E+07,10000,2.3169
1,10,3,60,1.00E+07,1.00E+05,2.2148
1,10,3,120,1.00E+05,1000,2.0216
1,10,3,120,1.00E+05,10000,2
1,10,3,120,1.00E+05,1.00E+05,2
1,10,3,120,1.00E+06,1000,2.0114
1,10,3,120,1.00E+06,10000,2.22
1,10,3,120,1.00E+06,1.00E+05,1.9
1,10,3,120,2.00E+06,1000,2.0101
1,10,3,120,2.00E+06,10000,1.9341
1,10,3,120,2.00E+06,1.00E+05,1.9218
1,10,3,120,1.00E+07,1000,2.1881
1,10,3,120,1.00E+07,10000,2.3671
1,10,3,120,1.00E+07,1.00E+05,2.352
1,10,3,300,1.00E+05,1000,2
1,10,3,300,1.00E+05,10000,1.9411
1,10,3,300,1.00E+05,1.00E+05,2
1,10,3,300,1.00E+06,1000,2.0048
1,10,3,300,1.00E+06,10000,2
1,10,3,300,1.00E+06,1.00E+05,1.9653
1,10,3,300,2.00E+06,1000,2.0518
1,10,3,300,2.00E+06,10000,1.9115
1,10,3,300,2.00E+06,1.00E+05,2.0488
1,10,3,300,1.00E+07,1000,2.0894
1,10,3,300,1.00E+07,10000,2.4295
1,10,3,300,1.00E+07,1.00E+05,2.2921
1,10,6,1,1.00E+05,1000,2.472
1,10,6,1,1.00E+05,10000,2.156
1,10,6,1,1.00E+05,1.00E+05,2.0297
1,10,6,1,1.00E+06,1000,2.3425
1,10,6,1,1.00E+06,10000,2.4231
1,10,6,1,1.00E+06,1.00E+05,2.1
1,10,6,1,2.00E+06,1000,2.19
1,10,6,1,2.00E+06,10000,2.1435
1,10,6,1,2.00E+06,1.00E+05,2.1433
1,10,6,1,1.00E+07,1000,3.3012
1,10,6,1,1.00E+07,10000,3.3667
1,10,6,1,1.00E+07,1.00E+05,2.7574
1,10,6,10,1.00E+05,1000,2
1,10,6,10,1.00E+05,10000,2
1,10,6,10,1.00E+05,1.00E+05,1.9786
1,10,6,10,1.00E+06,1000,2.0357
1,10,6,10,1.00E+06,10000,1.9707
1,10,6,10,1.00E+06,1.00E+05,2.3131
1,10,6,10,2.00E+06,1000,2
1,10,6,10,2.00E+06,10000,2.0121
1,10,6,10,2.00E+06,1.00E+05,2
1,10,6,10,1.00E+07,1000,2.3199
1,10,6,10,1.00E+07,10000,2.6764
1,10,6,10,1.00E+07,1.00E+05,2.4156
1,10,6,60,1.00E+05,1000,2.2629
1,10,6,60,1.00E+05,10000,2.3329
1,10,6,60,1.00E+05,1.00E+05,1.9707
1,10,6,60,1.00E+06,1000,2.0289
1,10,6,60,1.00E+06,10000,2.0399
1,10,6,60,1.00E+06,1.00E+05,2
1,10,6,60,2.00E+06,1000,2.0121
1,10,6,60,2.00E+06,10000,2.0138
1,10,6,60,2.00E+06,1.00E+05,1.9946
1,10,6,60,1.00E+07,1000,2.3309
1,10,6,60,1.00E+07,10000,2.0853
1,10,6,60,1.00E+07,1.00E+05,2.3382
1,10,6,120,1.00E+05,1000,2.2406
1,10,6,120,1.00E+05,10000,1.9512
1,10,6,120,1.00E+05,1.00E+05,2
1,10,6,120,1.00E+06,1000,1.9886
1,10,6,120,1.00E+06,10000,2.0067
1,10,6,120,1.00E+06,1.00E+05,2.0006
1,10,6,120,2.00E+06,1000,2.3422
1,10,6,120,2.00E+06,10000,1.9869
1,10,6,120,2.00E+06,1.00E+05,1.9641
1,10,6,120,1.00E+07,1000,2.1832
1,10,6,120,1.00E+07,10000,2.5804
1,10,6,120,1.00E+07,1.00E+05,2.5689
1,10,6,300,1.00E+05,1000,1.9
1,10,6,300,1.00E+05,10000,1.9115
1,10,6,300,1.00E+05,1.00E+05,1.9524
1,10,6,300,1.00E+06,1000,2
1,10,6,300,1.00E+06,10000,2.0226
1,10,6,300,1.00E+06,1.00E+05,2.0102
1,10,6,300,2.00E+06,1000,2.0982
1,10,6,300,2.00E+06,10000,1.9466
1,10,6,300,2.00E+06,1.00E+05,2.1735
