$a,$b,$c,$d,$e,$f,$g,$h,$i,$j,$k,<$a
1,0,0,0,0,0,0,0,0,0,0,210.34
1,1,0,0,0,0,0,0,0,0,0,201.15
1,0,1,0,1,0,0,0,0,0,0,202.23
1,1,1,0,1,0,0,0,0,0,0,204.05
1,0,0,1,0,0,0,0,0,0,0,199.95
1,0,1,1,1,0,0,0,0,0,0,203.18
1,1,0,1,0,0,0,0,0,0,0,201.52
1,1,1,1,1,0,0,0,0,0,0,204.99
1,0,0,0,1,0,0,0,0,0,0,200.66
1,1,0,0,1,0,0,0,0,0,0,202.39
1,0,0,1,1,0,0,0,0,0,0,201.9
1,1,0,1,1,0,0,0,0,0,0,203.64
1,0,1,1,1,0,0,0,0,0,0,205.13
1,1,1,0,1,0,0,0,0,0,0,205.99
1,1,1,1,1,0,0,0,0,0,0,206.9
1,0,0,0,0,1,0,0,0,0,0,200.38
1,1,0,0,0,1,0,0,0,0,0,201.83
1,0,1,0,1,1,0,0,0,0,0,203.53
1,1,1,0,1,1,0,0,0,0,0,205.21
1,0,0,0,1,1,0,0,0,0,0,202.06
1,0,1,0,1,1,0,0,0,0,0,205.36
1,1,0,0,1,1,0,0,0,0,0,203.98
1,1,1,0,1,1,0,0,0,0,0,207.12
1,0,0,1,0,1,0,0,0,0,0,201.47
1,1,0,1,0,1,0,0,0,0,0,203.19
1,0,0,1,1,1,0,0,0,0,0,203.19
1,1,0,1,1,1,0,0,0,0,0,204.96
1,0,1,1,1,1,0,0,0,0,0,204.73
1,0,1,1,1,1,0,0,0,0,0,206.43
1,1,1,1,1,1,0,0,0,0,0,206.35
1,1,1,1,1,1,0,0,0,0,0,208.05
1,0,0,0,0,0,1,0,0,0,0,199.68
1,1,0,0,0,0,1,0,0,0,0,201.55
1,0,1,0,1,0,1,0,0,0,0,202.93
1,1,1,0,1,0,1,0,0,0,0,204.69
1,0,0,1,0,0,1,0,0,0,0,200.82
1,0,1,1,1,0,1,0,0,0,0,204.05
1,1,0,1,0,0,1,0,0,0,0,202.69
1,1,1,1,1,0,1,0,0,0,0,205.95
1,0,0,0,0,1,1,0,0,0,0,200.92
1,1,0,0,0,1,1,0,0,0,0,202.94
1,0,0,1,0,1,1,0,0,0,0,201.97
1,1,0,1,0,1,1,0,0,0,0,203.93
1,0,1,0,1,1,1,0,0,0,0,204.29
1,0,1,1,1,1,1,0,0,0,0,205.47
1,1,1,0,1,1,1,0,0,0,0,206.23
1,1,1,1,1,1,1,0,0,0,0,207.23
1,0,0,0,1,0,1,0,0,0,0,201.7
1,1,0,0,1,0,1,0,0,0,0,203.56
1,0,1,0,1,0,1,0,0,0,0,205.09
1,1,1,0,1,0,1,0,0,0,0,206.62
1,0,0,0,1,1,1,0,0,0,0,202.81
1,0,1,0,1,1,1,0,0,0,0,206.12
1,1,0,0,1,1,1,0,0,0,0,204.96
1,1,1,0,1,1,1,0,0,0,0,207.89
1,0,0,1,1,0,1,0,0,0,0,202.68
1,1,0,1,1,0,1,0,0,0,0,204.51
1,0,0,1,1,1,1,0,0,0,0,203.86
1,1,0,1,1,1,1,0,0,0,0,205.74
1,0,1,1,1,0,1,0,0,0,0,205.71
1,0,1,1,1,1,1,0,0,0,0,207.1
1,1,1,1,1,0,1,0,0,0,0,207.65
1,1,1,1,1,1,1,0,0,0,0,208.92
1,0,0,0,0,0,0,1,0,0,0,207.75
1,1,0,0,0,0,0,1,0,0,0,209.7
1,0,1,0,1,0,0,1,0,0,0,211.39
1,1,1,0,1,0,0,1,0,0,0,213.18
