$a,$b,$c,$d,$e,$f,$g,$h,$i,$j,$k,<$b
1,0,0,0,0,0,0,0,0,0,0,27
1,1,0,0,0,0,0,0,0,0,0,26
1,0,1,0,1,0,0,0,0,0,0,26
1,1,1,0,1,0,0,0,0,0,0,26
1,0,0,1,0,0,0,0,0,0,0,26
1,0,1,1,1,0,0,0,0,0,0,26
1,1,0,1,0,0,0,0,0,0,0,26
1,1,1,1,1,0,0,0,0,0,0,26
1,0,0,0,1,0,0,0,0,0,0,27
1,1,0,0,1,0,0,0,0,0,0,26
1,0,0,1,1,0,0,0,0,0,0,26
1,1,0,1,1,0,0,0,0,0,0,26
1,0,1,1,1,0,0,0,0,0,0,26
1,1,1,0,1,0,0,0,0,0,0,26
1,1,1,1,1,0,0,0,0,0,0,26
1,0,0,0,0,1,0,0,0,0,0,29
1,1,0,0,0,1,0,0,0,0,0,29
1,0,1,0,1,1,0,0,0,0,0,29
1,1,1,0,1,1,0,0,0,0,0,29
1,0,0,0,1,1,0,0,0,0,0,29
1,0,1,0,1,1,0,0,0,0,0,29
1,1,0,0,1,1,0,0,0,0,0,29
1,1,1,0,1,1,0,0,0,0,0,29
1,0,0,1,0,1,0,0,0,0,0,29
1,1,0,1,0,1,0,0,0,0,0,29
1,0,0,1,1,1,0,0,0,0,0,29
1,1,0,1,1,1,0,0,0,0,0,29
1,0,1,1,1,1,0,0,0,0,0,29
1,0,1,1,1,1,0,0,0,0,0,29
1,1,1,1,1,1,0,0,0,0,0,29
1,1,1,1,1,1,0,0,0,0,0,29
1,0,0,0,0,0,1,0,0,0,0,29
1,1,0,0,0,0,1,0,0,0,0,29
1,0,1,0,1,0,1,0,0,0,0,29
1,1,1,0,1,0,1,0,0,0,0,29
1,0,0,1,0,0,1,0,0,0,0,29
1,0,1,1,1,0,1,0,0,0,0,29
1,1,0,1,0,0,1,0,0,0,0,29
1,1,1,1,1,0,1,0,0,0,0,29
1,0,0,0,0,1,1,0,0,0,0,29
1,1,0,0,0,1,1,0,0,0,0,29
1,0,0,1,0,1,1,0,0,0,0,29
1,1,0,1,0,1,1,0,0,0,0,29
1,0,1,0,1,1,1,0,0,0,0,29
1,0,1,1,1,1,1,0,0,0,0,29
1,1,1,0,1,1,1,0,0,0,0,29
1,1,1,1,1,1,1,0,0,0,0,29
1,0,0,0,1,0,1,0,0,0,0,29
1,1,0,0,1,0,1,0,0,0,0,29
1,0,1,0,1,0,1,0,0,0,0,29
1,1,1,0,1,0,1,0,0,0,0,29
1,0,0,0,1,1,1,0,0,0,0,29
1,0,1,0,1,1,1,0,0,0,0,29
1,1,0,0,1,1,1,0,0,0,0,29
1,1,1,0,1,1,1,0,0,0,0,29
1,0,0,1,1,0,1,0,0,0,0,29
1,1,0,1,1,0,1,0,0,0,0,29
1,0,0,1,1,1,1,0,0,0,0,29
1,1,0,1,1,1,1,0,0,0,0,29
1,0,1,1,1,0,1,0,0,0,0,29
1,0,1,1,1,1,1,0,0,0,0,29
1,1,1,1,1,0,1,0,0,0,0,29
